PartipantID,Index,Vis,VisID,Error,TruePerc,ReportPerc
5,0,BarChart,0,1.6181022,47.05529,50.0
5,1,PieChart,1,2.8141077,63.09216,70.0
5,2,TreeMap,2,4.3493004,80.25808,60.0
5,3,TreeMap,2,-0.19141284,25.750748,25.0
5,4,BarChart,0,1.417494,47.45379,50.0
5,5,PieChart,1,1.143438,72.91593,75.0
5,6,BarChart,0,2.7490723,78.40215,85.0
5,7,PieChart,1,1.5314499,27.765762,25.0
5,8,TreeMap,2,3.7720618,61.463333,75.0
5,9,BarChart,0,2.5444267,69.29124,75.0
5,10,PieChart,1,0.24559914,71.060585,70.0
5,11,TreeMap,2,2.215103,54.518147,50.0
5,12,PieChart,1,3.6987376,87.14033,100.0
5,13,TreeMap,2,2.981382,77.22758,85.0
5,14,BarChart,0,0.19105922,73.9834,75.0
5,15,PieChart,1,-0.806234,50.446873,50.0
5,16,TreeMap,2,1.9759836,46.191036,50.0
5,17,BarChart,0,3.1641862,66.16073,75.0
5,18,BarChart,0,2.3366754,29.926373,25.0
5,19,PieChart,1,3.8157406,86.04339,100.0
5,20,TreeMap,2,4.2050796,93.319,75.0
5,21,TreeMap,2,2.9448607,72.42499,80.0
5,22,BarChart,0,2.9749885,42.262497,50.0
5,23,PieChart,1,2.1436772,79.29387,75.0
5,24,PieChart,1,3.6657565,72.5662,60.0
5,25,TreeMap,2,3.983654,64.30526,80.0
5,26,BarChart,0,0.5354273,38.67563,40.0
5,27,BarChart,0,3.2426891,40.65943,50.0
5,28,PieChart,1,4.2104316,78.38755,60.0
5,29,TreeMap,2,2.8142169,31.908373,25.0
5,30,PieChart,1,3.5919719,61.933445,50.0
5,31,TreeMap,2,2.8772109,92.77772,100.0
5,32,BarChart,0,1.453552,32.386185,35.0
5,33,TreeMap,2,3.3731146,79.76383,90.0
5,34,BarChart,0,2.7478383,43.4079,50.0
5,35,PieChart,1,4.380096,45.697853,25.0
5,36,TreeMap,2,3.5138528,88.70213,100.0
5,37,BarChart,0,1.0214896,61.905014,60.0
5,38,PieChart,1,2.2060091,55.51103,60.0
5,39,PieChart,1,2.380203,55.0811,50.0
5,40,TreeMap,2,3.4196496,64.42418,75.0
5,41,BarChart,0,0.93573195,48.21214,50.0
5,42,BarChart,0,2.7830958,73.24172,80.0
5,43,PieChart,1,3.5735872,36.780754,25.0
5,44,TreeMap,2,1.2398013,52.23666,50.0
5,45,TreeMap,2,2.9719365,92.27911,100.0
5,46,BarChart,0,3.6238859,37.796837,50.0
5,47,PieChart,1,1.8404152,76.54387,80.0
5,48,BarChart,0,1.8083766,71.62252,75.0
5,49,PieChart,1,4.436437,78.47287,100.0
5,50,TreeMap,2,3.3971887,89.589485,100.0
5,51,TreeMap,2,3.9731936,59.419544,75.0
5,52,BarChart,0,1.6174244,47.056732,50.0
5,53,PieChart,1,3.5031862,88.78628,100.0
5,54,TreeMap,2,4.2290897,78.628525,60.0
5,55,BarChart,0,1.5477945,52.7987,50.0
5,56,PieChart,1,2.2648444,54.681026,50.0
5,57,TreeMap,2,3.515567,61.311447,50.0
5,58,BarChart,0,0.93605125,83.211716,85.0
5,59,PieChart,1,2.8221571,26.947191,20.0
