Country,Code,Population,GDP per capita,"Homicide by firearm rate per 100,000",Rank by rate of ownership,Average firearms per 100 people,Average total all civilian firearms,% of homicides by firearm,Number of homicides by firearm,"Homicides per 100,000",Total number of homicides
Tunisia,TUN,10886500,4150,,178,0.1,9000,,,2.2,235
East Timor,TLS,1178252,4835,,177,0.3,3000,,,3.6,39
Ethiopia,ETH,94100756,454,,174,0.4,320000,,,12,11048
Ghana,GHA,25904598,1605,,174,0.4,80000,,,6.1,1537
Solomon Islands,SLB,561231,1837,0,174,0.4,1800,0,0,4.3,24
Bangladesh,BGD,156594962,822,1.12,169,0.5,700000,43.6,1456,2.7,4169
Eritrea,ERI,6333135,507,,169,0.5,20000,,,7.1,437
Fiji,FJI,881065,4572,,169,0.5,4000,,,4,35
Indonesia,IDN,249865631,3557,,169,0.5,1000000,,,0.6,1456
Singapore,SGP,5399200,52141,0.02,169,0.5,22000,5.9,1,0.2,11
Haiti,HTI,10317461,706,,164,0.6,190000,,,10.2,1033
Japan,JPN,127338621,46838,0.01,164,0.6,710000,1.8,11,0.3,442
"Korea, North",PRK,24895480,583,,164,0.6,130000,,,5.2,1293
Rwanda,RWA,11776522,620,,164,0.6,58000,,,23.1,2648
Sierra Leone,SLE,6092075,725,2.28,164,0.6,34000,87.7,128,1.9,113
Lithuania,LTU,2956121,13984,0.18,160,0.7,135000,2.5,6,6.7,202
Malawi,MWI,16362567,355,,160,0.7,92000,,,1.8,279
Niger,NER,17831270,395,,160,0.7,93000,,,4.7,803
Romania,ROU,19963581,7787,0.02,160,0.7,160000,1.3,5,1.7,378
Gambia,GMB,1849285,512,,157,0.8,123000,,,10.2,182
Madagascar,MDG,22924851,447,,157,0.8,150000,,,11.1,2465
Nepal,NPL,27797457,656,0.3,159,0.8,205000,13.3,84,2.9,786
Kyrgyzstan,KGZ,5719500,1183,0.54,156,0.9,45000,8.3,28,9.1,494
Central African Republic,CAF,4616417,483,,153,1,40000,,,11.8,532
Togo,TGO,6816982,590,,153,1,60000,,,10.3,684
Tajikistan,TJK,8207834,953,0.22,153,1,65000,15.6,15,1.6,126
Burkina Faso,BFA,16934839,649,,149,1.1,148000,,,8,1311
"Korea, South",KOR,50219669,23052,0.03,149,1.1,510000,1.7,14,0.9,427
Mali,MLI,15301650,691,,149,1.1,143000,,,7.5,1119
Chad,TCD,12825314,818,,149,1.1,109000,,,7.3,907
Burundi,BDI,10162532,229,,145,1.2,200000,,,8,790
Guinea,GIN,11745189,532,,145,1.2,110000,,,8.9,1018
Laos,LAO,6769727,1369,,145,1.2,71000,,,5.9,392
Papua New Guinea,PNG,7321262,2187,,145,1.2,71000,,,10.4,713
Ecuador,ECU,15737878,5648,12.73,142,1.3,370000,68.7,1790,12.4,1924
Kazakhstan,KAZ,17037508,12455,1.34,142,1.3,200000,12.5,210,7.8,1263
Poland,POL,38530725,12820,0.09,142,1.3,510000,7.1,35,1.2,449
Benin,BEN,10323474,752,,137,1.4,120000,,,8.4,848
Brunei,BRN,417784,41127,0,137,1.4,5400,0,0,2,8
Democratic Republic of the Congo,COD,67513677,286,1.56,137,1.4,800000,33.2,248,28.3,18586
Tanzania,TZA,49253126,,,137,1.4,550000,,,12.7,6071
Uganda,UGA,37578876,598,0.87,137,1.4,400000,10.5,280,10.7,3753
Sri Lanka,LKA,20483000,2816,1.48,133,1.5,300000,21.1,291,3.4,707
Malaysia,MYS,29716965,10422,0.24,133,1.5,370000,13.4,64,2.3,652
Nigeria,NGA,173615345,1555,,133,1.5,2000000,,,20,33817
Uzbekistan,UZB,30241100,1801,,133,1.5,1200000,,,3.7,1060
Guinea-Bissau,GNB,1704255,510,,129,1.6,25000,,,8.4,140
Liberia,LBR,4294077,356,0.43,129,1.6,51000,13.2,17,3.2,135
Mauritania,MRT,3889880,1018,,129,1.6,50000,,,5,191
Trinidad and Tobago,TTO,1341151,17365,27.31,129,1.6,21000,72.1,365,28.3,379
